dimension,value,records,with_sources,reviewed,with_evidence,origins_known,nonzero,distinct_sources,sparse
source_family,tunisie actualite,1,1,0,0,0,1,1,1
source_family,tunisie actualite source tunivisions,1,1,0,0,0,1,1,1
source_family,tunisie direct,1,0,0,0,0,0,1,1
source_family,tunisie haut debit,1,1,0,0,0,1,1,1
source_family,tunisie haut debit thd,1,1,0,0,0,1,1,1
source_family,tunisie numerique,12,8,0,0,0,8,12,0
source_family,tunisie radio com annuaire des radios tunisiennes,1,1,0,0,0,1,1,1
source_family,tunisie valeurs,1,1,0,0,0,1,1,1
source_family,tunisie14,2,2,0,0,0,2,2,1
source_family,turess la presse,1,1,0,0,0,1,1,1
source_family,tustex,3,1,0,0,0,1,3,1
source_family,tv 2 norway,1,1,0,0,0,1,1,1
source_family,u s air forces in europe air forces africa,2,2,0,0,0,2,2,1
source_family,u s army southern european task force africa,2,2,0,0,0,2,2,1
source_family,u s department of defense news war gov,1,0,0,0,0,0,1,1
source_family,u s department of state,1,0,0,0,0,0,1,1
source_family,u s department of state office of the legal adviser,1,0,0,0,0,0,1,1
source_family,uae ministry of foreign affairs,1,1,0,0,0,1,1,1
source_family,uib,1,0,0,0,0,0,1,1
source_family,uk government,1,1,0,0,0,1,1,1
source_family,unctad investment policy hub,12,0,0,0,0,0,12,1
source_family,union syndicale des magistrats france,1,1,0,0,0,1,1,1
source_family,union tunisienne de l agriculture et de la peche,1,1,0,0,0,1,1,1
source_family,united nations,1,0,0,0,0,0,1,1
source_family,united nations treaty series,1,0,0,0,0,0,1,1
source_family,united nations via belgium news syndication,1,0,0,0,0,0,1,1
source_family,united states africa command,1,1,0,0,0,1,1,1
source_family,university of texas press,1,0,0,0,0,0,1,1
source_family,upr official site,1,1,0,0,0,1,1,1
source_family,us embassy tunis wikileaks cable 09tunis171,1,1,0,0,0,1,1,1
source_family,variety,1,1,0,0,0,1,1,1
source_family,web manager center wmc avec tap,1,1,0,0,0,1,1,1
source_family,webdo,9,9,0,0,0,9,9,0
source_family,webdo tap,1,1,0,0,0,1,1,1
source_family,webmanagercenter,26,15,0,0,0,15,26,0
source_family,webmanagercenter afp,1,0,0,0,0,0,1,1
source_family,webmanagercenter amel belhadj ali,1,1,0,0,0,1,1,1
source_family,webmanagercenter ar,2,2,0,0,0,2,2,1
source_family,webmanagercenter avec tap,1,0,0,0,0,0,1,1
source_family,webmanagercenter communique tunisair,1,1,0,0,0,1,1,1
source_family,webmanagercenter directinfo,2,2,0,0,0,2,2,1
source_family,webmanagercenter tap,3,0,0,0,0,0,3,1
source_family,wifak bank site officiel,1,0,0,0,0,0,1,1
source_family,wikidata,66,0,0,0,0,0,66,1
source_family,wikipedia,131,79,0,0,0,79,131,0
source_family,wikipedia ar,1,0,0,0,0,0,1,1
source_family,wikipedia en,3,0,0,0,0,0,3,1
source_family,wikipedia encyclopedie referencee,1,0,0,0,0,0,1,1
source_family,wikipedia english,19,3,0,0,0,3,19,0
source_family,wikipedia fr,140,92,0,0,0,92,140,0
source_family,wikipedia francais,22,13,0,0,0,13,22,0
source_family,wikipedia french,14,13,0,0,0,13,14,0
source_family,william and mary geolab geoboundaries,1,0,0,0,0,0,1,1
source_family,wipo lex,1,0,0,0,0,0,1,1
source_family,world bank,5,4,0,0,0,4,5,0
source_family,world bank global preferential trade agreements database archive,1,0,0,0,0,0,1,1
source_family,world bank group,1,0,0,0,0,0,1,1
source_family,world bank world integrated trade solution,1,0,0,0,0,0,1,1
